# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AKG35_RS00640	GENE_AKG35_RS00640	TRANSCRIPT_AKG35_RS00640	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00645	GENE_AKG35_RS00645	TRANSCRIPT_AKG35_RS00645	protein_coding	0	0	1	0	0	0	1	0	0	0	0
AKG35_RS00650	GENE_AKG35_RS00650	TRANSCRIPT_AKG35_RS00650	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00655	GENE_AKG35_RS00655	TRANSCRIPT_AKG35_RS00655	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00660	GENE_AKG35_RS00660	TRANSCRIPT_AKG35_RS00660	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00665	GENE_AKG35_RS00665	TRANSCRIPT_AKG35_RS00665	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00790	GENE_AKG35_RS00790	TRANSCRIPT_AKG35_RS00790	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00795	GENE_AKG35_RS00795	TRANSCRIPT_AKG35_RS00795	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00800	GENE_AKG35_RS00800	TRANSCRIPT_AKG35_RS00800	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00805	GENE_AKG35_RS00805	TRANSCRIPT_AKG35_RS00805	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00815	GENE_AKG35_RS00815	TRANSCRIPT_AKG35_RS00815	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00870	GENE_AKG35_RS00870	TRANSCRIPT_AKG35_RS00870	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00875	GENE_AKG35_RS00875	TRANSCRIPT_AKG35_RS00875	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00880	GENE_AKG35_RS00880	TRANSCRIPT_AKG35_RS00880	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00885	GENE_AKG35_RS00885	TRANSCRIPT_AKG35_RS00885	protein_coding	0	0	1	0	0	0	1	0	0	0	0
AKG35_RS00890	GENE_AKG35_RS00890	TRANSCRIPT_AKG35_RS00890	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00895	GENE_AKG35_RS00895	TRANSCRIPT_AKG35_RS00895	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00900	GENE_AKG35_RS00900	TRANSCRIPT_AKG35_RS00900	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00905	GENE_AKG35_RS00905	TRANSCRIPT_AKG35_RS00905	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00910	GENE_AKG35_RS00910	TRANSCRIPT_AKG35_RS00910	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01170	GENE_AKG35_RS01170	TRANSCRIPT_AKG35_RS01170	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01175	GENE_AKG35_RS01175	TRANSCRIPT_AKG35_RS01175	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01185	GENE_AKG35_RS01185	TRANSCRIPT_AKG35_RS01185	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01190	GENE_AKG35_RS01190	TRANSCRIPT_AKG35_RS01190	protein_coding	0	0	1	0	0	0	1	0	0	0	0
AKG35_RS01195	GENE_AKG35_RS01195	TRANSCRIPT_AKG35_RS01195	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01200	GENE_AKG35_RS01200	TRANSCRIPT_AKG35_RS01200	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01205	GENE_AKG35_RS01205	TRANSCRIPT_AKG35_RS01205	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01210	GENE_AKG35_RS01210	TRANSCRIPT_AKG35_RS01210	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01215	GENE_AKG35_RS01215	TRANSCRIPT_AKG35_RS01215	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01220	GENE_AKG35_RS01220	TRANSCRIPT_AKG35_RS01220	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01345	GENE_AKG35_RS01345	TRANSCRIPT_AKG35_RS01345	protein_coding	0	0	0	2	0	0	0	0	0	0	2
AKG35_RS01350	GENE_AKG35_RS01350	TRANSCRIPT_AKG35_RS01350	protein_coding	0	0	0	2	2	0	0	0	0	0	0
AKG35_RS01355	GENE_AKG35_RS01355	TRANSCRIPT_AKG35_RS01355	protein_coding	0	0	2	1	0	0	2	0	0	0	1
AKG35_RS01365	GENE_AKG35_RS01365	TRANSCRIPT_AKG35_RS01365	protein_coding	0	0	1	2	0	0	1	0	0	0	2
AKG35_RS01370	GENE_AKG35_RS01370	TRANSCRIPT_AKG35_RS01370	protein_coding	0	0	0	3	3	0	0	0	0	0	0
AKG35_RS01375	GENE_AKG35_RS01375	TRANSCRIPT_AKG35_RS01375	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01380	GENE_AKG35_RS01380	TRANSCRIPT_AKG35_RS01380	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01385	GENE_AKG35_RS01385	TRANSCRIPT_AKG35_RS01385	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01410	GENE_AKG35_RS01410	TRANSCRIPT_AKG35_RS01410	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01415	GENE_AKG35_RS01415	TRANSCRIPT_AKG35_RS01415	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01420	GENE_AKG35_RS01420	TRANSCRIPT_AKG35_RS01420	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01425	GENE_AKG35_RS01425	TRANSCRIPT_AKG35_RS01425	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01430	GENE_AKG35_RS01430	TRANSCRIPT_AKG35_RS01430	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01435	GENE_AKG35_RS01435	TRANSCRIPT_AKG35_RS01435	protein_coding	0	0	0	2	2	0	0	0	0	0	0
AKG35_RS01440	GENE_AKG35_RS01440	TRANSCRIPT_AKG35_RS01440	protein_coding	0	0	1	1	0	0	1	0	0	0	1
AKG35_RS01445	GENE_AKG35_RS01445	TRANSCRIPT_AKG35_RS01445	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01450	GENE_AKG35_RS01450	TRANSCRIPT_AKG35_RS01450	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01455	GENE_AKG35_RS01455	TRANSCRIPT_AKG35_RS01455	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01460	GENE_AKG35_RS01460	TRANSCRIPT_AKG35_RS01460	protein_coding	1	0	0	1	0	1	0	0	0	0	1
AKG35_RS01465	GENE_AKG35_RS01465	TRANSCRIPT_AKG35_RS01465	protein_coding	0	0	0	2	0	0	0	0	0	0	2
AKG35_RS01470	GENE_AKG35_RS01470	TRANSCRIPT_AKG35_RS01470	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01480	GENE_AKG35_RS01480	TRANSCRIPT_AKG35_RS01480	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01485	GENE_AKG35_RS01485	TRANSCRIPT_AKG35_RS01485	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01490	GENE_AKG35_RS01490	TRANSCRIPT_AKG35_RS01490	protein_coding	1	0	0	0	0	0	0	0	1	0	0
AKG35_RS01495	GENE_AKG35_RS01495	TRANSCRIPT_AKG35_RS01495	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01500	GENE_AKG35_RS01500	TRANSCRIPT_AKG35_RS01500	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01505	GENE_AKG35_RS01505	TRANSCRIPT_AKG35_RS01505	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01510	GENE_AKG35_RS01510	TRANSCRIPT_AKG35_RS01510	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01515	GENE_AKG35_RS01515	TRANSCRIPT_AKG35_RS01515	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01565	GENE_AKG35_RS01565	TRANSCRIPT_AKG35_RS01565	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01570	GENE_AKG35_RS01570	TRANSCRIPT_AKG35_RS01570	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01575	GENE_AKG35_RS01575	TRANSCRIPT_AKG35_RS01575	protein_coding	1	0	0	1	0	1	0	0	0	0	1
AKG35_RS01580	GENE_AKG35_RS01580	TRANSCRIPT_AKG35_RS01580	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01585	GENE_AKG35_RS01585	TRANSCRIPT_AKG35_RS01585	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01590	GENE_AKG35_RS01590	TRANSCRIPT_AKG35_RS01590	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01595	GENE_AKG35_RS01595	TRANSCRIPT_AKG35_RS01595	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01600	GENE_AKG35_RS01600	TRANSCRIPT_AKG35_RS01600	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01605	GENE_AKG35_RS01605	TRANSCRIPT_AKG35_RS01605	protein_coding	0	0	1	1	0	0	1	0	0	0	1
AKG35_RS01610	GENE_AKG35_RS01610	TRANSCRIPT_AKG35_RS01610	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01615	GENE_AKG35_RS01615	TRANSCRIPT_AKG35_RS01615	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01620	GENE_AKG35_RS01620	TRANSCRIPT_AKG35_RS01620	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01625	GENE_AKG35_RS01625	TRANSCRIPT_AKG35_RS01625	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01635	GENE_AKG35_RS01635	TRANSCRIPT_AKG35_RS01635	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01640	GENE_AKG35_RS01640	TRANSCRIPT_AKG35_RS01640	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01645	GENE_AKG35_RS01645	TRANSCRIPT_AKG35_RS01645	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01705	GENE_AKG35_RS01705	TRANSCRIPT_AKG35_RS01705	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01710	GENE_AKG35_RS01710	TRANSCRIPT_AKG35_RS01710	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01715	GENE_AKG35_RS01715	TRANSCRIPT_AKG35_RS01715	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01720	GENE_AKG35_RS01720	TRANSCRIPT_AKG35_RS01720	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01725	GENE_AKG35_RS01725	TRANSCRIPT_AKG35_RS01725	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01735	GENE_AKG35_RS01735	TRANSCRIPT_AKG35_RS01735	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01740	GENE_AKG35_RS01740	TRANSCRIPT_AKG35_RS01740	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01745	GENE_AKG35_RS01745	TRANSCRIPT_AKG35_RS01745	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01750	GENE_AKG35_RS01750	TRANSCRIPT_AKG35_RS01750	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01770	GENE_AKG35_RS01770	TRANSCRIPT_AKG35_RS01770	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01780	GENE_AKG35_RS01780	TRANSCRIPT_AKG35_RS01780	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01785	GENE_AKG35_RS01785	TRANSCRIPT_AKG35_RS01785	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01790	GENE_AKG35_RS01790	TRANSCRIPT_AKG35_RS01790	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01795	GENE_AKG35_RS01795	TRANSCRIPT_AKG35_RS01795	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01800	GENE_AKG35_RS01800	TRANSCRIPT_AKG35_RS01800	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01805	GENE_AKG35_RS01805	TRANSCRIPT_AKG35_RS01805	protein_coding	0	0	1	0	0	0	1	0	0	0	0
AKG35_RS01810	GENE_AKG35_RS01810	TRANSCRIPT_AKG35_RS01810	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01815	GENE_AKG35_RS01815	TRANSCRIPT_AKG35_RS01815	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01820	GENE_AKG35_RS01820	TRANSCRIPT_AKG35_RS01820	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01825	GENE_AKG35_RS01825	TRANSCRIPT_AKG35_RS01825	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01830	GENE_AKG35_RS01830	TRANSCRIPT_AKG35_RS01830	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS01835	GENE_AKG35_RS01835	TRANSCRIPT_AKG35_RS01835	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01840	GENE_AKG35_RS01840	TRANSCRIPT_AKG35_RS01840	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01845	GENE_AKG35_RS01845	TRANSCRIPT_AKG35_RS01845	protein_coding	0	0	1	0	0	0	1	0	0	0	0
AKG35_RS01850	GENE_AKG35_RS01850	TRANSCRIPT_AKG35_RS01850	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS01855	GENE_AKG35_RS01855	TRANSCRIPT_AKG35_RS01855	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS01860	GENE_AKG35_RS01860	TRANSCRIPT_AKG35_RS01860	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02130	GENE_AKG35_RS02130	TRANSCRIPT_AKG35_RS02130	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02135	GENE_AKG35_RS02135	TRANSCRIPT_AKG35_RS02135	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02140	GENE_AKG35_RS02140	TRANSCRIPT_AKG35_RS02140	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02145	GENE_AKG35_RS02145	TRANSCRIPT_AKG35_RS02145	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02150	GENE_AKG35_RS02150	TRANSCRIPT_AKG35_RS02150	protein_coding	0	0	1	0	0	0	1	0	0	0	0
AKG35_RS02155	GENE_AKG35_RS02155	TRANSCRIPT_AKG35_RS02155	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02160	GENE_AKG35_RS02160	TRANSCRIPT_AKG35_RS02160	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02165	GENE_AKG35_RS02165	TRANSCRIPT_AKG35_RS02165	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02170	GENE_AKG35_RS02170	TRANSCRIPT_AKG35_RS02170	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02250	GENE_AKG35_RS02250	TRANSCRIPT_AKG35_RS02250	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02255	GENE_AKG35_RS02255	TRANSCRIPT_AKG35_RS02255	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02260	GENE_AKG35_RS02260	TRANSCRIPT_AKG35_RS02260	protein_coding	0	0	1	0	0	0	1	0	0	0	0
AKG35_RS02265	GENE_AKG35_RS02265	TRANSCRIPT_AKG35_RS02265	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02270	GENE_AKG35_RS02270	TRANSCRIPT_AKG35_RS02270	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02275	GENE_AKG35_RS02275	TRANSCRIPT_AKG35_RS02275	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02280	GENE_AKG35_RS02280	TRANSCRIPT_AKG35_RS02280	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02540	GENE_AKG35_RS02540	TRANSCRIPT_AKG35_RS02540	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02545	GENE_AKG35_RS02545	TRANSCRIPT_AKG35_RS02545	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02550	GENE_AKG35_RS02550	TRANSCRIPT_AKG35_RS02550	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02555	GENE_AKG35_RS02555	TRANSCRIPT_AKG35_RS02555	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02560	GENE_AKG35_RS02560	TRANSCRIPT_AKG35_RS02560	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02565	GENE_AKG35_RS02565	TRANSCRIPT_AKG35_RS02565	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02570	GENE_AKG35_RS02570	TRANSCRIPT_AKG35_RS02570	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02575	GENE_AKG35_RS02575	TRANSCRIPT_AKG35_RS02575	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02585	GENE_AKG35_RS02585	TRANSCRIPT_AKG35_RS02585	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02595	GENE_AKG35_RS02595	TRANSCRIPT_AKG35_RS02595	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02600	GENE_AKG35_RS02600	TRANSCRIPT_AKG35_RS02600	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02605	GENE_AKG35_RS02605	TRANSCRIPT_AKG35_RS02605	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02610	GENE_AKG35_RS02610	TRANSCRIPT_AKG35_RS02610	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02615	GENE_AKG35_RS02615	TRANSCRIPT_AKG35_RS02615	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02620	GENE_AKG35_RS02620	TRANSCRIPT_AKG35_RS02620	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02625	GENE_AKG35_RS02625	TRANSCRIPT_AKG35_RS02625	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02635	GENE_AKG35_RS02635	TRANSCRIPT_AKG35_RS02635	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02650	GENE_AKG35_RS02650	TRANSCRIPT_AKG35_RS02650	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02655	GENE_AKG35_RS02655	TRANSCRIPT_AKG35_RS02655	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02660	GENE_AKG35_RS02660	TRANSCRIPT_AKG35_RS02660	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02665	GENE_AKG35_RS02665	TRANSCRIPT_AKG35_RS02665	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02670	GENE_AKG35_RS02670	TRANSCRIPT_AKG35_RS02670	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02675	GENE_AKG35_RS02675	TRANSCRIPT_AKG35_RS02675	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02685	GENE_AKG35_RS02685	TRANSCRIPT_AKG35_RS02685	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02690	GENE_AKG35_RS02690	TRANSCRIPT_AKG35_RS02690	protein_coding	0	0	1	0	0	0	1	0	0	0	0
AKG35_RS02695	GENE_AKG35_RS02695	TRANSCRIPT_AKG35_RS02695	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02700	GENE_AKG35_RS02700	TRANSCRIPT_AKG35_RS02700	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02705	GENE_AKG35_RS02705	TRANSCRIPT_AKG35_RS02705	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02710	GENE_AKG35_RS02710	TRANSCRIPT_AKG35_RS02710	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02715	GENE_AKG35_RS02715	TRANSCRIPT_AKG35_RS02715	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02720	GENE_AKG35_RS02720	TRANSCRIPT_AKG35_RS02720	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02785	GENE_AKG35_RS02785	TRANSCRIPT_AKG35_RS02785	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02790	GENE_AKG35_RS02790	TRANSCRIPT_AKG35_RS02790	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02795	GENE_AKG35_RS02795	TRANSCRIPT_AKG35_RS02795	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02800	GENE_AKG35_RS02800	TRANSCRIPT_AKG35_RS02800	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02805	GENE_AKG35_RS02805	TRANSCRIPT_AKG35_RS02805	protein_coding	0	1	0	0	0	0	0	0	0	1	0
AKG35_RS02810	GENE_AKG35_RS02810	TRANSCRIPT_AKG35_RS02810	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02815	GENE_AKG35_RS02815	TRANSCRIPT_AKG35_RS02815	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02820	GENE_AKG35_RS02820	TRANSCRIPT_AKG35_RS02820	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02825	GENE_AKG35_RS02825	TRANSCRIPT_AKG35_RS02825	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS02830	GENE_AKG35_RS02830	TRANSCRIPT_AKG35_RS02830	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS02880	GENE_AKG35_RS02880	TRANSCRIPT_AKG35_RS02880	protein_coding	0	0	0	2	2	0	0	0	0	0	0
